RP,Nom du parlementaire,Bénéficiaire,Pays,Somme,Programme,Programme détaillé,Année
AN,BOUVARD  Loïc          (N),"Association pour la Solidarité et  la Promotion des 
Mitsamiouliens  en France (ASPMF)   GRANDE COMORE",Comores,10000,209-02,Développement - Coopération bilatérale,2011
AN,BOYER                   (N),La Flamme d'Harmattan,,2000,209-02,Développement - Coopération bilatérale,2011
AN,BRANGET              (N),Vel'Horizon Samson   ENFANTS HOSPITALISES AU CHU DE BESANCON,,1000,209-02,Développement - Coopération bilatérale,2011
AN,BRANGET              (N),Brulard Ensemble        EPICERIE SOCIALE A BESANCON,,2000,209-02,Développement - Coopération bilatérale,2011
AN,BRARD,AFAK-Asso fr d'appui au développement de la région de Kayes (Mali),,95000,209-02,Développement - Coopération bilatérale,2011
AN,BRUNEL,"Echanges internationaux pour le développement et la coopération (ECIDEC)
COLLECTEUR D'EPARGNE SOLIDAIRE - RESEAU ""COUP DE POUCE"" ",,5000,209-02,Développement - Coopération bilatérale,2011
AN,BRUNEL,Association des Khmers de Bussy-Saint-Georges (AKB),Cambodge,5000,209-02,Développement - Coopération bilatérale,2011
AN,BRUNEL,Association franco-haïtienne (Roissy-en-Brie) - Seine et Marne,Haïti,3000,209-02,Développement - Coopération bilatérale,2011
AN,CALVET,Comité départemental coopération décentralisée    (CDCD) {+ IRLES  1.000 € }                   ,,2000,209-02,Développement - Coopération bilatérale,2011
AN,CALVET,Soler Sénégal Soleil,Sénégal,2000,209-02,Développement - Coopération bilatérale,2011
AN,CALVET,Pezilla Solidarité,Madagascar,1500,209-02,Développement - Coopération bilatérale,2011
S,CAMBON              (N),Lycée Marc Chagall de Tel Aviv  COLLEGE,Israël,15000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,CANTEGRIT,Courrier Australien                                  ,Australie,10000,185-02,Coopération culturelle et promotion du français,2011
S,CANTEGRIT,"Ecole française de Vancouver
 Ecole française internationale - NORTH VANCOUVER",Canada,10000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,CANTEGRIT,Hôpital Saint-Louis d'Alep,Syrie,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,CANTEGRIT,"Association SOS international  ""SOS PAPA INTERNATIONAL""",,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,CANTEGRIT,Assocation Haïti Partenaires France Europe,Haïti,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,CANTEGRIT,Société d'entraide de la Légion d'honneur Caracas,Vénézuela,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,CANTEGRIT,Société d'histoire de l'Ile Maurice,Ile MAURICE,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,CANTEGRIT,Société de l'hôpital Notre Dame de la Paix à Kobayat ,Liban,20000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
AN,CARAYON,Les Enfants de Tana-Maza,,1000,209-02,Développement - Coopération bilatérale,2011
AN,CARREZ,Citées Unies France,,50000,209-02,Développement - Coopération bilatérale,2011
S,CERISIER BEN GUIGA,Amis de la french ABC   AUX Etats-Unis MAIS RIB EN France,Etats-Unis,20000,185-02,Coopération culturelle et promotion du français,2011
S,CERISIER BEN GUIGA,Lycée franco costaricien               ,Costa Rica,17500,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,CERISIER BEN GUIGA,Association Véronique                  en France                                    ,,30000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
AN,CHEVENEMENT   Prés.,Fondation Res Publica,,50000,185-04,Diplomatie culturelle et d'influence - Attractivité et recherche,2011
,CHEVENEMENT   Prés.,Amendement parlementaire,,10000,151,Français de l'étranger et affaires consulaires,2011
AN,CHOSSY              (N),Association franco-camerounaise BIAGNE,Cameroun,10000,209-02,Développement - Coopération bilatérale,2011
AN,CHRIST                (N),Association de charité Sainte-Véronique                                                  ,,5000,209-02,Développement - Coopération bilatérale,2011
AN,CINIERI                 (N),Easy smile,,1000,209-02,Développement - Coopération bilatérale,2011
AN,CINIERI                 (N),Jumelage Sunset-St Paul en Cornillon,,1000,209-02,Développement - Coopération bilatérale,2011
AN,COCHET,Association pour les échanges et la coopération entre Lyon et Erevan,Arménie,1000,209-02,Développement - Coopération bilatérale,2011
S,COINTAT,Chambre franco-centroaméricaine      ,Costa Rica,12500,185-02,Coopération culturelle et promotion du français,2011
S,COINTAT,Lycée franco-costaricien             ,Costa Rica,22918,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,COINTAT,Lycée français Jules Verne   ,Guatemala,30400,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,COINTAT,Collège des frères de Jaffa     ,Israël,20000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,COINTAT          + frassa,Femmes de la Méditerrannée   LYCEE Français DE MADRID              ,Espagne,11000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,COINTAT        + ferrand,Terre de Talents - Projet d'avenir ,,2182,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,COINTAT,Courrier Australien      ,Australie,1000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
AN,COPE                     (N),Moldavenir                                           ,Moldavie,4000,209-02,Développement - Coopération bilatérale,2011
AN,COUSIN,Sainte Thérèse de l'Enfant Jésus                                               ,,1000,209-02,Développement - Coopération bilatérale,2011
AN,COUSIN,Sambava Développement                        ,Madagascar,1000,209-02,Développement - Coopération bilatérale,2011
AN,CROZON,Association des Nigériens et amis du Niger en Rhône (ANAN),Niger,5000,209-05,Développement - Coopération multilatérale,2011
AN,CROZON,AFPS - Association France Palestine Solidarité,Palestine,5000,209-05,Développement - Coopération multilatérale,2011
AN,CUVILLIER             (N), BOULOGNE ECHANGES INTERNATIONAUX,,10000,209-05,Développement - Coopération multilatérale,2011
AN,DE LA VERPILLIERE (N),Association Eau Soleil,,1000,209-02,Développement - Coopération bilatérale,2011
AN,DE RUGY                 (N),Association ARCADE,,4000,209-02,Développement - Coopération bilatérale,2011
AN,DECOOL                  (N),Solidajeunes,,1000,209-02,Développement - Coopération bilatérale,2011
AN,DEGAUCHY,Unboldair,,1000,209-02,Développement - Coopération bilatérale,2011
S,DEL PICCHIA,Lycée Jean Giono de Turin          ,Italie,29000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DEL PICCHIA,Alliance française de la Nouvelle-Orléans,Etats-Unis,8000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DEL PICCHIA,Alliance française de Dallas,Etats-Unis,5000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DEL PICCHIA,French American Charter School de New York        ,Etats-Unis,11000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DEL PICCHIA,Lycée français Charles de Gaulle d'Ankara             ,Turquie,10000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DEL PICCHIA,Association Al Amal ciné-club au Maroc,Maroc,3000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DEL PICCHIA,Association française du Renouveau d'Abidjan,Côte d'Ivoire,2000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,DEL PICCHIA,Maison de retraite d'Antsirabe en Madagascar,Madagascar,17000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,DEL PICCHIA,Association de bienfaisance de Tel Aviv,Israël,20000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
AN,DESCOEUR,Song-Taaba-France-Cantal-Burkina                                                     ,Burkina Faso,2500,209-02,Développement - Coopération bilatérale,2011
AN,DESCOEUR,Collectif semaine solidarité internationale,,1100,209-02,Développement - Coopération bilatérale,2011
S,DESESSARD            (N),Afrique agri solaire,,4000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
AN,DIARD                      (N),Terre des enfants,,3000,209-02,Développement - Coopération bilatérale,2011
AN,DIONIS DU SEJOUR,Naître au Cameroun,Cameroun,2000,209-02,Développement - Coopération bilatérale,2011
AN,DIONIS DU SEJOUR,Handicap Nord Sud,,2000,209-02,Développement - Coopération bilatérale,2011
S,DU LUART,Réseau des alliances françaises et médiathèque du Brésil ,Brésil,30000,185-02,Coopération culturelle et promotion du français,2011
S,DUMAS,AMISTAD   (reconstruction école à Cuba),Cuba,12000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
AN,DUMONT                 (N),Association REAGIR - Agir Ensemble      ,,1000,209-05,Développement - Coopération multilatérale,2011
AN,DUMONT                 (N),Association Amitié Solidarité Tikhvine  MONASTERE EN RUSSIE ,Russie,1500,209-05,Développement - Coopération multilatérale,2011
S,DUPONT                  (N),"Association pour la francophonie de la bande de Gaza (domiciliée à Marseille)
MEDITERRANEE SOLIDARITE",Palestine,10000,185-02,Coopération culturelle et promotion du français,2011
AN,DUPUY       Présidente,Association ST2S@ctions,,2000,209-02,Développement - Coopération bilatérale,2011
AN,DURAND,UNICEF    ,,1000,209-05,Développement - Coopération multilatérale,2011
S,DUVERNOIS,ADIFLOR,,80000,185-02,Coopération culturelle et promotion du français,2011
S,DUVERNOIS,Fondation Albert Schweitzer                               ,Gabon,1500,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DUVERNOIS,Ecole Charbonnages Gabon                                 ,Gabon,2000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DUVERNOIS,Cimetière de civils français à Boulbinet                   ,Guinée,1000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DUVERNOIS,Cimetière de civils français à Annaba -   ,Algérie,2000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DUVERNOIS,Ecole Paul Langevin - Côte d'Ivoire                                       ,Côte d'Ivoire,6000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DUVERNOIS,Petit Lotus Bleu - Chine   ,Chine,1500,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DUVERNOIS,Shanghaï Young Bakers Chine                  ,Chine,1500,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DUVERNOIS,Lycée français de Pondichéry                                        ,Inde,5000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DUVERNOIS,Société mutuelle créole - Pondichéry                      ,Inde,9000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DUVERNOIS,Centre francophone Quérétaro                             ,Mexique,2000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DUVERNOIS,Alliance française de Xelapa                               ,Mexique,2000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DUVERNOIS,Alliance française Haïti                                                         ,Haïti,3500,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DUVERNOIS,Boston Ecole internationale                             ,Etats-Unis,4000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DUVERNOIS,Association EFGH - Houston (programme FLAM),Etats-Unis,4000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DUVERNOIS,Café Littéraire - (publication d'un livre)                 ,Danemark,2000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,DUVERNOIS,Comité d'aide aux Français sinistrés de l'Aquila        ,Italie,3000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
AN,ERHEL                    (N),Association Armor Goëlo Solidarité Taghrate    ,,3000,209-05,Développement - Coopération multilatérale,2011
AN,FAVENNEC,aide au développement de Boussé,Burkina Faso,1000,209-02,Développement - Coopération bilatérale,2011
AN,FAVENNEC,Trait d'Union,,1000,209-02,Développement - Coopération bilatérale,2011
S,FERRAND,Alliance française de Monte Cristi             ,Rép. Dominicaine,15000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,FERRAND,Ecole française Jules Verne à Helsinki -                               ,Finlande,10000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,FERRAND,Ecole française du Maine                                                 ,Etats-Unis,8500,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,FERRAND,Racines françaises au Mexique                      ,Mexique,16500,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,FERRAND,Société franco-allemande de Bayreuth                       ,Allemagne,3000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,FERRAND,Terre de Talents - Projet d'avenir   ,,10000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,FERRAND,Institut franco-allemand d'Erlangen                                                                        ,Allemagne,2000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,FERRAND,Frenz School Inc. - Auckland                          ,Nouvelle Zélande,5000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,FERRAND,Ecoles françaises de Melbourne                    ,Australie,5000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,FERRAND,Foyer français du troisième âge à Santiago du Chili                       ,Chili,15000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,FERRAND,Association française d'entaide du Cap              ,Afrique du Sud,5000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,FERRAND,Société française de bienfaisance de Johannesbourg (SFBJ)        ,Afrique du Sud,5000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,FERRAND,Centre Charles Péguy - Londres                                                ,Grande-Bretagne,15000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,FERRAND,Association des familles franco-chinoises de Shanghai (AFFC)     ,Chine,5000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
AN,FIORASO,Association FEMOCA,,1000,209-05,Développement - Coopération multilatérale,2011
AN,FOLLIOT,Aide au développement Sidobre-Bénin (ADESIBE),Bénin,1000,209-02,Développement - Coopération bilatérale,2011
AN,FORT                    (N),Association SITCH,,4000,209-02,Développement - Coopération bilatérale,2011
S,FOUCAUD,Les amis du Monde                                                     ,,1000,209-02,Développement - Coopération bilatérale,2011
S,FOUCAUD,Projet CISAL                                                                                  ,,5000,209-02,Développement - Coopération bilatérale,2011
S,FOUCAUD,Les Amis de Fort Dauphin                                                       ,,1000,209-02,Développement - Coopération bilatérale,2011
S,FRASSA,"Fondation ""La Voie Lactée""- ",Haïti,18000,185-02,Coopération culturelle et promotion du français,2011
S,FRASSA,"Ecole primaire ""Francoperuano"" du Callao (PEROU) -",Pérou,5000,185-02,Coopération culturelle et promotion du français,2011
S,FRASSA,Institut franco-japonais de Tokyo (JAPON) ,Japon,38000,185-02,Coopération culturelle et promotion du français,2011
S,FRASSA,Association des parents d'élèves du Kansai (JAPON) ,Japon,12000,185-02,Coopération culturelle et promotion du français,2011
S,FRASSA,Clinique de Gamkalley à Niamey (NIGER) ,Niger,8000,185-02,Coopération culturelle et promotion du français,2011
S,FRASSA,"Lycée français de Madrid   projet ""femmes de la Méditerranée"") -     ",Espagne,19000,185-02,Coopération culturelle et promotion du français,2011
S,FRASSA,Lycée français Victor Hugo de Francfort,Allemagne,10000,185-02,Coopération culturelle et promotion du français,2011
S,GARRIAUD MAYLAM,Centre Estel (Association de bienfaisance à Dakar) ,Sénégal,5000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,GARRIAUD MAYLAM,UFE Mexique,Mexique,12000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,GARRIAUD MAYLAM,Société française de bienfaisance 14 de Julho,Brésil,3000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,GARRIAUD MAYLAM,Collège Voltaire à Berlin,Allemagne,15100,185-02,Coopération culturelle et promotion du français,2011
S,GARRIAUD MAYLAM,Ecole Jules Verne à Helsinki,Finlande,4400,185-02,Coopération culturelle et promotion du français,2011
S,GARRIAUD MAYLAM,Lycée Nahr Ibrahim               ,Liban,20000,185-02,Coopération culturelle et promotion du français,2011
S,GARRIAUD MAYLAM,Ecole Saint-Exupéry de Saint-Louis,Sénégal,8300,185-02,Coopération culturelle et promotion du français,2011
S,GARRIAUD MAYLAM,Institut culturel français à Dakar,Sénégal,10000,185-02,Coopération culturelle et promotion du français,2011
S,GARRIAUD MAYLAM,Lycée Gustave Flaubert de la Marsa ,Tunisie,37200,185-02,Coopération culturelle et promotion du français,2011
S,GARRIAUD MAYLAM,Alliances françaises du Chili,Chili,10000,185-02,Coopération culturelle et promotion du français,2011
AN,GAUBERT,Association ARMOR MEKONG,,5000,209-05,Développement - Coopération multilatérale,2011
AN,GEOFFROY            (N),Rotary Club de Mormant centre Brie,,2000,209-02,Développement - Coopération bilatérale,2011
AN,GISCARD D'ESTAING L.,"Comité catholique contre la faim et pour le développement  CCFD-Terre solidaire
  ",,1000,209-02,Développement - Coopération bilatérale,2011
AN,GISCARD D'ESTAING L.,UNMFREO,,1750,209-02,Développement - Coopération bilatérale,2011
AN,GISCARD D'ESTAING L.,ARCADE -CHAMALIERES  Appui aux activités,,2000,209-02,Développement - Coopération bilatérale,2011
AN,GISCARD D'ESTAING L.,AUNOCADEV Appui aux activités,,1000,209-02,Développement - Coopération bilatérale,2011
AN,GISCARD D'ESTAING V.,Institut pour la Démocratie en Europe,,100000,105-02,Action européenne,2011
AN,GIULIANI,Fondation Robert Schuman,,100000,105-02,Action européenne,2011
AN,GONNOT                (N),Association l'Homme par l'Homme pour l'Homme,,10000,209-02,Développement - Coopération bilatérale,2011
AN,GOSSELIN,Les enfants du Soleil,,1000,209-02,Développement - Coopération bilatérale,2011
AN,GOUJON                 (N),Aurore,,1500,209-02,Développement - Coopération bilatérale,2011
AN,GRALL                   (N),Association coopération solidarité internationale 56,,4500,209-02,Développement - Coopération bilatérale,2011
AN,GROMMERCH        (N),Boubacar Narcisse,,1000,209-02,Développement - Coopération bilatérale,2011
AN,GROSPERRIN          (N),4L du soleil,,1000,209-02,Développement - Coopération bilatérale,2011
AN,GROSPERRIN          (N),Association du Riz pour Apprendre,,3000,209-02,Développement - Coopération bilatérale,2011
AN,GROSPERRIN          (N),Course autour du monde,,2000,209-02,Développement - Coopération bilatérale,2011
AN,GUEGOT                 (N),Les Enfants du saloum,Sénégal,2000,209-02,Développement - Coopération bilatérale,2011
S,GUERRY,Lycée français de Saint-Exupéry de Brazzaville,Congo,6000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,GUERRY,"Association ""Provinces de France au Maroc"" - CASABLANCE -",Maroc,20000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,GUERRY,ONG Gandeepam - ,Inde,15000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,GUERRY,Fondation mondiale recherche Sida - ASSOCIATION DE LUC MONTAGNIER ,,48000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
AN,GUILLOTEAU,Bénin Découvertes pour la coopération et le développement,Bénin,1000,209-02,Développement - Coopération bilatérale,2011
AN,HAVARD,FOJEP,,1000,209-02,Développement - Coopération bilatérale,2011
AN,HAVARD,France HUMANITAIRE,France,5000,209-02,Développement - Coopération bilatérale,2011
AN,HAVARD,A.S.F. Amour Sans Frontière,,2000,209-02,Développement - Coopération bilatérale,2011
AN,HOSTALIER          (N),Les Amis de Béthanie                                                                   ,Tchad,5000,209-02,Développement - Coopération bilatérale,2011
AN,HOSTALIER          (N),Association Terre d'Errance Steenvoorde,France,2000,209-02,Développement - Coopération bilatérale,2011
AN,HOUSSIN               (N),Marquette Solidarité,,1000,209-02,Développement - Coopération bilatérale,2011
AN,HUE               Prés. ,Fondation Gabriel Péri,,160000,185-04,Diplomatie culturelle et d'influence - Attractivité et recherche,2011
AN,HUYGHE                (N),Habourdin Humanitaire et Solidaire,,1000,209-02,Développement - Coopération bilatérale,2011
AN,IRLES                     (N),Epitropica,Equateur,1000,209-02,Développement - Coopération bilatérale,2011
AN,IRLES                     (N),Comité départemental coopération décentralisé     (CDCD)    ,,1000,209-02,Développement - Coopération bilatérale,2011
AN,ISSINDOU               (N),Association Trièves-Palestine,Accueil  étudiant palestinien,3500,185-02,Coopération culturelle et promotion du français,2011
AN,ISSINDOU               (N),"Association ""les Gazelles dauphinoises""",,2500,209-05,Développement - Coopération multilatérale,2011
AN,ISSINDOU               (N),Association Tilita-Solidarité,,1000,209-05,Développement - Coopération multilatérale,2011
AN,JARDÉ,Ambulances sans frontière,,5000,209-05,Développement - Coopération multilatérale,2011
AN,JOSSELIN ,Cités Unies France,,50000,209-02,Développement - Coopération bilatérale,2011
S,KAMMERMANN,Société de bienfaisance de Montevideo        ,Uruguay,3500,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,KAMMERMANN,Projet de création de l'Institut français de Bilbao,Espagne,20000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,KAMMERMANN,"Association ""Avenir Positif"" de Pointe-Noire ",Congo,3000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,KAMMERMANN,Lycée français Blaise Pascal de Lubumbashi -,Congo RD,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,KAMMERMANN,Lycée Charles de Gaulle de Concepcion (Chili),Chili,33000,185-02,Coopération culturelle et promotion du français,2011
S,KAMMERMANN,Collège franco-argentin de Martinez de Buenos Aires,Argentine,16000,185-02,Coopération culturelle et promotion du français,2011
S,KAMMERMANN,Lycée français René Descartes de Kinshasa- ,Congo RD,9750,185-02,Coopération culturelle et promotion du français,2011
S,KAMMERMANN,Lycée Charlemagne de Pointe-Noire ,Congo,9750,185-02,Coopération culturelle et promotion du français,2011
S,KERDRAON            (N),Armor Goëlo SOLIDARITE TAGHRATE ,,1500,185-05,Diplomatie culturelle et d'influence - AEFE,2011
AN,KERT,Droujba Tchernobyl France,Ukraine,6000,209-02,Développement - Coopération bilatérale,2011
S,KHIARI,France terre d'asile ,,20000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
AN,LACHAUD,Electriciens Sans Frontières,,2000,209-02,Développement - Coopération bilatérale,2011
AN,LAGARDE               (N),Association aide médicale au Congo,Congo,2000,209-02,Développement - Coopération bilatérale,2011
AN,LAMBLIN                (N),Comité catholique contre la faim et pour le développement  CCFD,,2500,209-02,Développement - Coopération bilatérale,2011
AN,LAMBLIN                (N),Les Enfants des 1001 collines,,2500,209-02,Développement - Coopération bilatérale,2011
AN,LAMOUR                (N),Vivre à Bossomnoré                 ,Burkina Faso,1000,209-02,Développement - Coopération bilatérale,2011
AN,LAMY,"Association ""Colibris d'ici et d'ailleurs""",,2300,209-05,Développement - Coopération multilatérale,2011
S,LARCHER,Association des sœurs des saints cœurs                 ,Liban,10000,185-02,Coopération culturelle et promotion du français,2011
AN,LASBORDES,CAP FQ           COMITE D'ACTION POLITIQUE FRANCO-QUEBECOIS,Canada,7000,185-02,Coopération culturelle et promotion du français,2011
AN,LASBORDES,Eduquamada   ,Madagascar,3000,209-02,Développement - Coopération bilatérale,2011
AN,LAZARO,Association 4 L'ille-Phalempin,,1500,209-02,Développement - Coopération bilatérale,2011
AN,LAZARO,Les Ptits Lous du Rwanda,,1500,209-02,Développement - Coopération bilatérale,2011
AN,LAZARO,Les L du désert,,3000,209-02,Développement - Coopération bilatérale,2011
AN,LEFRAND,Epanouissement                                      ,,1500,209-02,Développement - Coopération bilatérale,2011
S,LEPAGE,Ecole Françoise Dolto de Majunga  ,Madagascar,35000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,LEPAGE,Ecole française de Sarrebrück et Dilling        ,Allemagne,25000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,LEPAGE,Fondation de l'école française Erevan Nar-Doss     ,Arménie,20000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,LEPAGE,"Foyer résidence pour personnes agées 
Saint Louis des Français - Madrid  ",Espagne,20000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
AN,LEQUILLER,Maison de l'Europe des Yvelines       ,,5000,105-02,Action européenne,2011
AN,LEVY,CEW France                 COSMETIC EXECUTIVE WOMEN      ASSOC 1901,,2000,209-02,Développement - Coopération bilatérale,2011
AN,MALHERBE            (N),Les Amis d'Antsirabé,Madagascar,2000,209-02,Développement - Coopération bilatérale,2011
AN,MALHERBE            (N),Vision du Monde               ,,1000,209-02,Développement - Coopération bilatérale,2011
AN,MALLIÉ,Garlaban Togo,Togo,1500,209-02,Développement - Coopération bilatérale,2011
AN,MARC,Human Ifrass         PARTICIPER AU 4L TROPHY 2011,,1000,209-02,Développement - Coopération bilatérale,2011
AN,MARIANI                 (N),Association ACTED    AGENCY FOR TECHNICAL COOPERATION AND DEVELOPMENT                                 ASSOC.    1901,,5000,209-02,Développement - Coopération bilatérale,2011
S,MARINI,"Association AOURAS  «SOCIETE D’ETUDES ET DE RECHERCHES SUR L’AURES ANTIQUE, AOURAS»               ASSOC. 1901",,5000,185-02,Coopération culturelle et promotion du français,2011
S,MARINI,Association Terres d'Orient,,20000,185-02,Coopération culturelle et promotion du français,2011
S,MARINI,Monastère Saint-Hilarion,,15000,185-02,Coopération culturelle et promotion du français,2011
S,MARINI,Monastère Saint-Jacques l'Intercis - MONASTERE ST JACQUES LE MUTILE,,10000,185-02,Coopération culturelle et promotion du français,2011
S,MARINI,Centre de recherche sur la Libye antique,,35000,185-02,Coopération culturelle et promotion du français,2011
S,MARINI,Association Oise Elblag MALBORK             présidence Marini,,4000,185-02,Coopération culturelle et promotion du français,2011
S,MARINI,Ecole biblique de Jérusalem,,20000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,MARINI,ONG Al Makan Art Association           ONG DE DROIT SYRIEN,,5000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
AN,MARLAND-MILITELLO (N),Rotary Club Nice Maeterlinck,,5000,209-02,Développement - Coopération bilatérale,2011
AN,MAUROY,Fondation Jean Jaurès,,185000,185-04,Diplomatie culturelle et d'influence - Attractivité et recherche,2011
AN,MEHAIGNERIE          (N),Association Loire-Eaudyssée,Madagascar,10000,209-02,Développement - Coopération bilatérale,2011
AN,MONTCHAMP,Fonds Arménien de France,,1000,209-02,Développement - Coopération bilatérale,2011
AN,MORANGE                (N),Chavalos de Managua,,5000,209-02,Développement - Coopération bilatérale,2011
AN,MORANGE                (N),AIDASA,,7000,209-02,Développement - Coopération bilatérale,2011
AN,MOREL-A-L'HUISSIER,"Kiwanis Club Mende ""Les Sources""",,2000,209-02,Développement - Coopération bilatérale,2011
AN,MOREL-A-L'HUISSIER,ALTINE,,1000,209-02,Développement - Coopération bilatérale,2011
AN,MOYNE-BRESSAND  (N),"Les 2 ""Elles"" SandSable",,1000,209-02,Développement - Coopération bilatérale,2011
AN,MUET,Lycée Martin Luther King - Foyer socio-éducatif                          ,,3000,209-05,Développement - Coopération multilatérale,2011
AN,MUSELIER,Amicale des Oraniens ,,1500,209-02,Développement - Coopération bilatérale,2011
AN,MUSELIER,Enfants du Monde                           ASSOC. LOI 1901,,1500,209-02,Développement - Coopération bilatérale,2011
AN,OGET                      (N),Association Ede Timoun YO,,2000,209-05,Développement - Coopération multilatérale,2011
AN,PANCHER               (N),Association Réagir : Agir ensemble de Pagny-sur Meuse ,,2000,209-02,Développement - Coopération bilatérale,2011
AN,PERRUCHOT           (N),Association d'Aide aux Victimes d'Alhoceima     ,Maroc,2000,209-02,Développement - Coopération bilatérale,2011
AN,PERRUCHOT           (N),Association Franco-Marocaine                                    ,,10000,209-02,Développement - Coopération bilatérale,2011
S,PIRAS                     (N),Comité de jumelage Arménie      ASSOC LOI 1901,Arménie,10000,185-02,Coopération culturelle et promotion du français,2011
AN,PLAGNOL,Moldavenir                                              ,,3000,209-02,Développement - Coopération bilatérale,2011
AN,PONIATOWSKI        (N),Ebisol                                               ASSOC. LOI 1901,,1000,209-02,Développement - Coopération bilatérale,2011
AN,PONIATOWSKI        (N),Action pour Enfants Oubliés d'Eragny-sur Oise,,1000,209-02,Développement - Coopération bilatérale,2011
AN,POURSINOFF           (N),Association ACTION MOPTI,,4000,209-02,Développement - Coopération bilatérale,2011
AN,POURSINOFF           (N),Association SANGWA,,2000,209-02,Développement - Coopération bilatérale,2011
AN,RAIMBOURG           (N),Association Les Amis de Diawar,,2000,209-05,Développement - Coopération multilatérale,2011
