RP,Nom du parlementaire,Bénéficiaire,Pays,Somme,Programme,Programme détaillé,Année
AN,JARDE,ONG Amitié Picardie magagascar,,3000,209-02,Développement - Coopération bilatérale,2012
AN,JOSSELIN,Cités Unies France,,40000,209-02,Développement - Coopération bilatérale,2012
S,JOUANNO,Amistad,,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
AN,JUANICO,Association Comité de Jumelage Ile Sainte-marie,,5000,209-05,Développement - Coopération multilatérale,2012
S,KAMMERMANN,Institution Jeanne d'Arc dakar,Sénégal,10000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,KAMMERMANN,"Association ""l'Ecole à l'hôpital du Centre hospitalier le Dantec"" de Dakar",Sénégal,5000,185-02,Coopération culturelle et promotion du français,2012
S,KAMMERMANN,Collège Carmel Saint-Joseph Mechref ,Liban,20000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,KAMMERMANN,L'Alliance Française de Conception,Chili,35000,185-02,Coopération culturelle et promotion du français,2012
S,KAMMERMANN,L'Alliance franco-Mauritanienne de Nouakchott,Mauritanie,20000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,KAMMERMANN,"Centre ""ESTEL"" de Dakar",Sénégal,10000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
AN,KERT,Association Toufat Nakal,,10000,209-02,Développement - Coopération bilatérale,2012
S,KHIARI,Alliance française de Managua,Nicaragua,7000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
S,KHIARI,Plateforme des ONG françaises pour la Palestine,,16500,185-01,Diplomatie culturelle et d'influence - Réseau,2012
S,KHIARI,France terre d'asile,,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
AN,LABRETTE-MENAGER,Le Mans Solidarité Kyabe,,2500,209-02,Développement - Coopération bilatérale,2012
AN,LAGARDE,Association Jeune Europe,Europe,2500,105-02,Action européenne,2012
AN,LAGARDE,"Solidarité protestante France-Arménie
(S.P.F.A)",,68000,209-02,Développement - Coopération bilatérale,2012
AN,LAGARDE,Ferme France Arrménie,,32000,209-02,Développement - Coopération bilatérale,2012
